judge_id,model_under_test,domain,no_card_lsi,avg_card_target,avg_card_conditioned_lsi,target_minus_default,conditioned_minus_default,conditioned_minus_target
deepseek_v4_flash,extgemma4-44b,Agreeableness,4.5,4.441666666666666,4.141666666666667,-0.05833333333333357,-0.3583333333333334,-0.2999999999999998
deepseek_v4_flash,extgemma4-44b,Conscientiousness,4.125,4.933333333333334,4.958333333333333,0.8083333333333336,0.833333333333333,0.024999999999999467
deepseek_v4_flash,extgemma4-44b,Extraversion,3.3333333333333335,2.6416666666666666,2.2,-0.6916666666666669,-1.1333333333333333,-0.44166666666666643
deepseek_v4_flash,extgemma4-44b,Neuroticism,2.3333333333333335,2.308333333333333,2.216666666666667,-0.025000000000000355,-0.1166666666666667,-0.09166666666666634
deepseek_v4_flash,extgemma4-44b,Openness,4.541666666666667,3.8583333333333334,3.2666666666666666,-0.6833333333333336,-1.2750000000000004,-0.5916666666666668
deepseek_v4_flash,gemma4-31b-it,Agreeableness,4.833333333333333,4.441666666666666,4.275,-0.3916666666666666,-0.5583333333333327,-0.16666666666666607
deepseek_v4_flash,gemma4-31b-it,Conscientiousness,4.958333333333333,4.933333333333334,4.991666666666666,-0.024999999999999467,0.033333333333333215,0.05833333333333268
deepseek_v4_flash,gemma4-31b-it,Extraversion,4.125,2.6416666666666666,2.5416666666666665,-1.4833333333333334,-1.5833333333333335,-0.10000000000000009
deepseek_v4_flash,gemma4-31b-it,Neuroticism,1.4166666666666667,2.308333333333333,2.625,0.8916666666666664,1.2083333333333333,0.3166666666666669
deepseek_v4_flash,gemma4-31b-it,Openness,4.875,3.8583333333333334,4.25,-1.0166666666666666,-0.625,0.3916666666666666
gemini3_flash,extgemma4-44b,Agreeableness,4.583333333333333,4.216666666666667,4.25,-0.36666666666666625,-0.33333333333333304,0.033333333333333215
gemini3_flash,extgemma4-44b,Conscientiousness,4.291666666666667,4.991666666666666,4.991666666666666,0.6999999999999993,0.6999999999999993,0.0
gemini3_flash,extgemma4-44b,Extraversion,3.0416666666666665,2.35,2.158333333333333,-0.6916666666666664,-0.8833333333333333,-0.19166666666666687
gemini3_flash,extgemma4-44b,Neuroticism,2.9166666666666665,2.125,2.2333333333333334,-0.7916666666666665,-0.6833333333333331,0.10833333333333339
gemini3_flash,extgemma4-44b,Openness,4.25,3.033333333333333,3.175,-1.2166666666666668,-1.0750000000000002,0.1416666666666666
gemini3_flash,gemma4-31b-it,Agreeableness,4.583333333333333,4.216666666666667,4.025,-0.36666666666666625,-0.5583333333333327,-0.19166666666666643
gemini3_flash,gemma4-31b-it,Conscientiousness,4.958333333333333,4.991666666666666,4.991666666666666,0.033333333333333215,0.033333333333333215,0.0
gemini3_flash,gemma4-31b-it,Extraversion,3.5,2.35,2.25,-1.15,-1.25,-0.10000000000000009
gemini3_flash,gemma4-31b-it,Neuroticism,1.6666666666666667,2.125,2.4166666666666665,0.45833333333333326,0.7499999999999998,0.2916666666666665
gemini3_flash,gemma4-31b-it,Openness,4.625,3.033333333333333,3.225,-1.5916666666666668,-1.4,0.19166666666666687
