empath_business_mean,empath_communication_mean,empath_crime_mean,empath_death_mean,empath_family_mean,empath_healing_mean,empath_help_mean,empath_law_mean,empath_money_mean,empath_negative_emotion_mean,empath_office_mean,empath_positive_emotion_mean,empath_speaking_mean,empath_trust_mean,empath_violence_mean,empath_work_mean,grouping,model_under_test,n,task_id,words_mean
0.010137202219606125,0.011076188067286448,0.002629519746933253,0.0021895672372461397,0.004858109821828654,0.0009533586262322765,0.003844310509182455,0.011516439671861113,0.009127217494943387,0.002755303751305317,0.007980717744192468,0.003907554614014143,0.007019207005729135,0.005762412583142127,0.001718634810237629,0.010295649808656002,model_under_test,extgemma4-44b,24,,1279.0
0.00972310518071543,0.009372649098874144,0.0025217761355323903,0.0021669034128095678,0.0043280319504296,0.0009694480350541031,0.002408212689871927,0.009969673754023167,0.008484526800466935,0.0026029538034148835,0.007587030021047235,0.003147360001728094,0.007564799922238036,0.004240334243648126,0.0014133812874125133,0.007677362843578696,model_under_test,gemma4-31b-it,24,,1514.0416666666667
0.013819224295760645,0.011600183352905066,0.0007004220544233565,0.001056214579724328,0.01001297469191966,0.0,0.0014146341240334447,0.01625684967850827,0.023470839728081293,0.0017363261744827406,0.006648032409244414,0.0023307772608247607,0.0036019757274478024,0.00486149788893301,0.001218997822173662,0.014320459470388283,model_under_test+task_id,extgemma4-44b,6,brutal_korean_guarantee_issue_spotter,953.6666666666666
0.004788694913827281,0.007139730139142766,0.003156160303974921,0.006091196741821307,0.004006911257751086,0.0012852699190430228,0.005983658568214606,0.007905315626456045,0.0019644213501784627,0.003517473105586614,0.003917102232083746,0.0074197636869453585,0.004370941859176174,0.005811432956116303,0.001690966370182342,0.005532887144343943,model_under_test+task_id,extgemma4-44b,6,canonical_lsi_4turn,1977.3333333333333
0.004526547042673437,0.008698637687492844,0.0028873312767536082,0.0016108576274389246,0.00491859599072308,0.0013094739006682407,0.0012235741521923402,0.006244316036618573,0.005829246640027467,0.0030927769930957504,0.007097617699754519,0.003895221365091241,0.006350248494934602,0.00629973186398169,0.001808499857706665,0.004608163551022994,model_under_test+task_id,extgemma4-44b,6,creative_legal_noir_scene,696.0
0.017414342626163138,0.016866201089605116,0.0037741653525811283,0.0,0.0004939573469207905,0.0012186906852178425,0.006755375192289432,0.015659277345861564,0.005244362261486328,0.0026746387320561635,0.014260118635687198,0.0019844561431952134,0.013753661941357966,0.00607698762353751,0.0021560751908878475,0.016721089068868784,model_under_test+task_id,extgemma4-44b,6,legal_emotional_4turn,1489.0
0.013028308010825414,0.009298353795764557,0.0020248204850254604,0.0020817962081609927,0.009018365539845816,0.0005754785870770242,0.0024667251347320084,0.014305575241873278,0.021321051929009193,0.0011623834352355608,0.004544829378345393,0.0019071986472118602,0.004883986865499071,0.003997296064834468,0.0009244989453435892,0.007661982088839981,model_under_test+task_id,gemma4-31b-it,6,brutal_korean_guarantee_issue_spotter,856.3333333333334
0.002924045204520505,0.005770249220667967,0.0042359024057828055,0.005561379288379256,0.002971536673557744,0.0014191870892431293,0.0020896239893099322,0.006612999504785347,0.000936329986775061,0.004268792065411675,0.002866062139371161,0.00546121981363431,0.005446281174149886,0.003552304485675436,0.0024060872912275467,0.0031431983154798157,model_under_test+task_id,gemma4-31b-it,6,canonical_lsi_4turn,2766.5
0.0031472831244403255,0.009628728337495516,0.001482739322499288,0.0006161429451632779,0.005001595559993718,0.0,0.0006533672956840786,0.006441041125336662,0.005402021496013214,0.0024772299551102674,0.008098121335989519,0.003661046452458299,0.00888610028722139,0.004773479017834561,0.0012082092565901578,0.003939188313828456,model_under_test+task_id,gemma4-31b-it,6,creative_legal_noir_scene,543.0
0.01979278438307548,0.012793265041568544,0.002343642328822006,0.0004082952095347432,0.00032063002832112634,0.0018831264638962588,0.004423134339761689,0.012519079144097382,0.006278703790070273,0.0025034097579020305,0.014839107230482868,0.001559975093607907,0.011042831362081793,0.004638257406248041,0.0011147296564887593,0.015965082656166526,model_under_test+task_id,gemma4-31b-it,6,legal_emotional_4turn,1890.3333333333333
