card_id,chars,empath_business,empath_communication,empath_crime,empath_death,empath_family,empath_healing,empath_help,empath_law,empath_money,empath_negative_emotion,empath_office,empath_positive_emotion,empath_speaking,empath_trust,empath_violence,empath_work,file,is_legal,model_under_test,output_id,task_id,words
ghoul,5730,0.013888888888888888,0.017094017094017096,0.0,0.0010683760683760685,0.00641025641025641,0.0,0.0,0.017094017094017096,0.026709401709401708,0.0010683760683760685,0.003205128205128205,0.002136752136752137,0.004273504273504274,0.009615384615384616,0.0010683760683760685,0.011752136752136752,outputs/extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter.md,True,extgemma4-44b,extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter,brutal_korean_guarantee_issue_spotter,928
ghoul,12316,0.004480286738351254,0.006720430107526882,0.002688172043010753,0.0062724014336917565,0.0008960573476702509,0.0017921146953405018,0.0013440860215053765,0.004032258064516129,0.005824372759856631,0.007168458781362007,0.00044802867383512545,0.005824372759856631,0.002240143369175627,0.004480286738351254,0.002240143369175627,0.0035842293906810036,outputs/extgemma4-44b__ghoul__canonical_lsi_4turn.md,False,extgemma4-44b,extgemma4-44b__ghoul__canonical_lsi_4turn,canonical_lsi_4turn,2264
ghoul,3742,0.0014771048744460858,0.007385524372230428,0.005908419497784343,0.004431314623338257,0.004431314623338257,0.0,0.0014771048744460858,0.005908419497784343,0.005908419497784343,0.0029542097488921715,0.007385524372230428,0.0014771048744460858,0.0029542097488921715,0.0014771048744460858,0.005908419497784343,0.0029542097488921715,outputs/extgemma4-44b__ghoul__creative_legal_noir_scene.md,False,extgemma4-44b,extgemma4-44b__ghoul__creative_legal_noir_scene,creative_legal_noir_scene,684
ghoul,7677,0.0187125748502994,0.014221556886227544,0.0014970059880239522,0.0,0.0,0.0007485029940119761,0.006736526946107785,0.01347305389221557,0.004491017964071856,0.004491017964071856,0.010479041916167664,0.0,0.01347305389221557,0.004491017964071856,0.0014970059880239522,0.014970059880239521,outputs/extgemma4-44b__ghoul__legal_emotional_4turn.md,True,extgemma4-44b,extgemma4-44b__ghoul__legal_emotional_4turn,legal_emotional_4turn,1342
grounded_ai,6181,0.017892644135188866,0.009940357852882704,0.0,0.0009940357852882703,0.005964214711729622,0.0,0.002982107355864811,0.015904572564612324,0.02186878727634195,0.002982107355864811,0.011928429423459244,0.0009940357852882703,0.0019880715705765406,0.005964214711729622,0.0019880715705765406,0.015904572564612324,outputs/extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter.md,True,extgemma4-44b,extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter,brutal_korean_guarantee_issue_spotter,999
grounded_ai,12680,0.004158964879852125,0.004158964879852125,0.0018484288354898336,0.004158964879852125,0.0036968576709796672,0.0018484288354898336,0.005545286506469501,0.006931608133086876,0.0,0.003234750462107209,0.0,0.006007393715341959,0.0046210720887245845,0.006931608133086876,0.0004621072088724584,0.003234750462107209,outputs/extgemma4-44b__grounded_ai__canonical_lsi_4turn.md,False,extgemma4-44b,extgemma4-44b__grounded_ai__canonical_lsi_4turn,canonical_lsi_4turn,2201
grounded_ai,3630,0.004893964110929853,0.004893964110929853,0.0016313213703099511,0.0,0.0065252854812398045,0.0065252854812398045,0.0,0.0065252854812398045,0.0016313213703099511,0.0065252854812398045,0.0065252854812398045,0.008156606851549755,0.0065252854812398045,0.008156606851549755,0.0016313213703099511,0.0032626427406199023,outputs/extgemma4-44b__grounded_ai__creative_legal_noir_scene.md,False,extgemma4-44b,extgemma4-44b__grounded_ai__creative_legal_noir_scene,creative_legal_noir_scene,621
grounded_ai,5926,0.020242914979757085,0.01417004048582996,0.006072874493927126,0.0,0.0,0.0020242914979757085,0.006072874493927126,0.02125506072874494,0.006072874493927126,0.0020242914979757085,0.020242914979757085,0.004048582995951417,0.013157894736842105,0.008097165991902834,0.003036437246963563,0.020242914979757085,outputs/extgemma4-44b__grounded_ai__legal_emotional_4turn.md,True,extgemma4-44b,extgemma4-44b__grounded_ai__legal_emotional_4turn,legal_emotional_4turn,989
grounded_ai_female_overt,6616,0.012048192771084338,0.008341056533827619,0.0,0.0018535681186283596,0.008341056533827619,0.0,0.0037071362372567192,0.020389249304911955,0.025023169601482854,0.0018535681186283596,0.0037071362372567192,0.0009267840593141798,0.0009267840593141798,0.0027803521779425394,0.0018535681186283596,0.011121408711770158,outputs/extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter.md,True,extgemma4-44b,extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter,brutal_korean_guarantee_issue_spotter,1063
grounded_ai_female_overt,14268,0.009896907216494845,0.006597938144329897,0.0012371134020618556,0.004536082474226804,0.003711340206185567,0.0008247422680412372,0.0053608247422680414,0.008247422680412371,0.0012371134020618556,0.0008247422680412372,0.004123711340206186,0.009896907216494845,0.004536082474226804,0.009484536082474227,0.00288659793814433,0.003711340206185567,outputs/extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn.md,False,extgemma4-44b,extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn,canonical_lsi_4turn,2449
grounded_ai_female_overt,3848,0.010819165378670788,0.00927357032457496,0.0,0.0,0.00463678516228748,0.0,0.0015455950540958269,0.00927357032457496,0.0077279752704791345,0.0061823802163833074,0.0077279752704791345,0.00463678516228748,0.012364760432766615,0.00463678516228748,0.0,0.0061823802163833074,outputs/extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene.md,False,extgemma4-44b,extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene,creative_legal_noir_scene,672
grounded_ai_female_overt,9054,0.010382868267358857,0.015574302401038288,0.005191434133679429,0.0,0.0006489292667099286,0.0012978585334198572,0.007138221933809215,0.016872160934458143,0.0025957170668397143,0.003244646333549643,0.00973393900064893,0.001946787800129786,0.014925373134328358,0.007138221933809215,0.0012978585334198572,0.0136275146009085,outputs/extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn.md,True,extgemma4-44b,extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn,legal_emotional_4turn,1544
human,6754,0.012589928057553957,0.012589928057553957,0.0017985611510791368,0.0,0.011690647482014389,0.0,0.0017985611510791368,0.0044964028776978415,0.017985611510791366,0.0008992805755395684,0.00539568345323741,0.002697841726618705,0.007194244604316547,0.0035971223021582736,0.0,0.0170863309352518,outputs/extgemma4-44b__human__brutal_korean_guarantee_issue_spotter.md,True,extgemma4-44b,extgemma4-44b__human__brutal_korean_guarantee_issue_spotter,brutal_korean_guarantee_issue_spotter,1110
human,13003,0.002987622705932565,0.008962868117797696,0.011523687580025609,0.006828851899274435,0.004268032437046522,0.0012804097311139564,0.002987622705932565,0.012804097311139564,0.0034144259496372174,0.007255655142979087,0.00810926163038839,0.006402048655569782,0.00597524541186513,0.005121638924455826,0.0012804097311139564,0.007255655142979087,outputs/extgemma4-44b__human__canonical_lsi_4turn.md,False,extgemma4-44b,extgemma4-44b__human__canonical_lsi_4turn,canonical_lsi_4turn,2408
human,4563,0.0,0.012391573729863693,0.0024783147459727386,0.0012391573729863693,0.004956629491945477,0.0,0.0,0.0024783147459727386,0.007434944237918215,0.0012391573729863693,0.008674101610904586,0.0024783147459727386,0.004956629491945477,0.004956629491945477,0.0,0.004956629491945477,outputs/extgemma4-44b__human__creative_legal_noir_scene.md,False,extgemma4-44b,extgemma4-44b__human__creative_legal_noir_scene,creative_legal_noir_scene,820
human,6870,0.012965964343598054,0.029983792544570502,0.004051863857374392,0.0,0.0,0.0032414910858995136,0.006482982171799027,0.008103727714748784,0.004051863857374392,0.0024311183144246355,0.014586709886547812,0.004862236628849271,0.02025931928687196,0.007293354943273906,0.0008103727714748784,0.017017828200972446,outputs/extgemma4-44b__human__legal_emotional_4turn.md,True,extgemma4-44b,extgemma4-44b__human__legal_emotional_4turn,legal_emotional_4turn,1237
no_card,5251,0.01694915254237288,0.010895883777239709,0.0012106537530266344,0.002421307506053269,0.015738498789346248,0.0,0.0,0.01937046004842615,0.021791767554479417,0.002421307506053269,0.009685230024213076,0.004842615012106538,0.004842615012106538,0.0036319612590799033,0.0012106537530266344,0.015738498789346248,outputs/extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter.md,True,extgemma4-44b,extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter,brutal_korean_guarantee_issue_spotter,801
no_card,9071,0.007208387942332897,0.0045871559633027525,0.000655307994757536,0.009829619921363041,0.010484927916120577,0.001965923984272608,0.003931847968545216,0.002621231979030144,0.001310615989515072,0.002621231979030144,0.003931847968545216,0.012450851900393184,0.003931847968545216,0.005897771952817824,0.00327653997378768,0.00655307994757536,outputs/extgemma4-44b__no_card__canonical_lsi_4turn.md,False,extgemma4-44b,extgemma4-44b__no_card__canonical_lsi_4turn,canonical_lsi_4turn,1527
no_card,4557,0.006657789613848202,0.006657789613848202,0.0039946737683089215,0.0039946737683089215,0.0039946737683089215,0.0013315579227696406,0.002663115845539281,0.006657789613848202,0.0039946737683089215,0.0,0.0039946737683089215,0.0,0.007989347536617843,0.005326231691078562,0.0,0.005326231691078562,outputs/extgemma4-44b__no_card__creative_legal_noir_scene.md,False,extgemma4-44b,extgemma4-44b__no_card__creative_legal_noir_scene,creative_legal_noir_scene,764
no_card,13144,0.01990740740740741,0.014351851851851852,0.0023148148148148147,0.0,0.0023148148148148147,0.0,0.006481481481481481,0.016666666666666666,0.003703703703703704,0.000925925925925926,0.015277777777777777,0.000462962962962963,0.0125,0.004166666666666667,0.002777777777777778,0.018055555555555554,outputs/extgemma4-44b__no_card__legal_emotional_4turn.md,True,extgemma4-44b,extgemma4-44b__no_card__legal_emotional_4turn,legal_emotional_4turn,2134
source_skeleton,5281,0.00954653937947494,0.010739856801909307,0.0011933174224343676,0.0,0.011933174224343675,0.0,0.0,0.02028639618138425,0.027446300715990454,0.0011933174224343676,0.0059665871121718375,0.002386634844868735,0.002386634844868735,0.003579952267303103,0.0011933174224343676,0.014319809069212411,outputs/extgemma4-44b__source_skeleton__brutal_korean_guarantee_issue_spotter.md,True,extgemma4-44b,extgemma4-44b__source_skeleton__brutal_korean_guarantee_issue_spotter,brutal_korean_guarantee_issue_spotter,821
source_skeleton,6271,0.0,0.011811023622047244,0.000984251968503937,0.004921259842519685,0.000984251968503937,0.0,0.01673228346456693,0.012795275590551181,0.0,0.0,0.006889763779527559,0.003937007874015748,0.004921259842519685,0.002952755905511811,0.0,0.008858267716535433,outputs/extgemma4-44b__source_skeleton__canonical_lsi_4turn.md,False,extgemma4-44b,extgemma4-44b__source_skeleton__canonical_lsi_4turn,canonical_lsi_4turn,1015
source_skeleton,3637,0.0033112582781456954,0.011589403973509934,0.0033112582781456954,0.0,0.004966887417218543,0.0,0.0016556291390728477,0.006622516556291391,0.008278145695364239,0.0016556291390728477,0.008278145695364239,0.006622516556291391,0.0033112582781456954,0.013245033112582781,0.0033112582781456954,0.004966887417218543,outputs/extgemma4-44b__source_skeleton__creative_legal_noir_scene.md,False,extgemma4-44b,extgemma4-44b__source_skeleton__creative_legal_noir_scene,creative_legal_noir_scene,615
source_skeleton,10523,0.022274325908558032,0.012895662368112544,0.0035169988276670576,0.0,0.0,0.0,0.0076201641266119575,0.017584994138335287,0.010550996483001172,0.0029308323563892145,0.015240328253223915,0.0005861664712778429,0.008206330597889801,0.005275498241500586,0.0035169988276670576,0.016412661195779603,outputs/extgemma4-44b__source_skeleton__legal_emotional_4turn.md,True,extgemma4-44b,extgemma4-44b__source_skeleton__legal_emotional_4turn,legal_emotional_4turn,1688
